[32m2021-11-13 16:15:52.743 INFO  [ConcesionarioApplication][restartedMain] - Starting ConcesionarioApplication using Java 1.8.0_292 on WKSAR1091L.local with PID 82448 (/Users/mercedesosorioodreman/Desktop/concesionario/target/classes started by mercedesosorioodreman in /Users/mercedesosorioodreman/Desktop/concesionario)
[m[32m2021-11-13 16:16:02.872 INFO  [ConcesionarioApplication][restartedMain] - No active profile set, falling back to default profiles: default
[m[32m2021-11-13 16:16:03.121 INFO  [DevToolsPropertyDefaultsPostProcessor][restartedMain] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[m[32m2021-11-13 16:16:03.122 INFO  [DevToolsPropertyDefaultsPostProcessor][restartedMain] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[m[32m2021-11-13 16:16:05.035 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-11-13 16:16:05.041 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
[m[32m2021-11-13 16:16:05.178 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.repository.RolRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-11-13 16:16:05.183 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.repository.UsuarioRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-11-13 16:16:05.185 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 124 ms. Found 0 JDBC repository interfaces.
[m[32m2021-11-13 16:16:05.223 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-11-13 16:16:05.229 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[m[32m2021-11-13 16:16:05.549 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 281 ms. Found 2 JPA repository interfaces.
[m[32m2021-11-13 16:16:06.912 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@1d6f7b12' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-11-13 16:16:06.925 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-11-13 16:16:09.061 INFO  [TomcatWebServer][restartedMain] - Tomcat initialized with port(s): 8080 (http)
[m[32m2021-11-13 16:16:09.189 INFO  [Http11NioProtocol][restartedMain] - Initializing ProtocolHandler ["http-nio-8080"]
[m[32m2021-11-13 16:16:09.192 INFO  [StandardService][restartedMain] - Starting service [Tomcat]
[m[32m2021-11-13 16:16:09.202 INFO  [StandardEngine][restartedMain] - Starting Servlet engine: [Apache Tomcat/9.0.53]
[m[32m2021-11-13 16:16:09.804 INFO  [[/]][restartedMain] - Initializing Spring embedded WebApplicationContext
[m[32m2021-11-13 16:16:09.806 INFO  [ServletWebServerApplicationContext][restartedMain] - Root WebApplicationContext: initialization completed in 6680 ms
[m[33m2021-11-13 16:16:10.658 WARN  [JpaBaseConfiguration$JpaWebConfiguration][restartedMain] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[m[32m2021-11-13 16:16:14.493 INFO  [HikariDataSource][restartedMain] - HikariPool-1 - Starting...
[m[32m2021-11-13 16:16:18.983 INFO  [HikariDataSource][restartedMain] - HikariPool-1 - Start completed.
[m[32m2021-11-13 16:16:24.773 INFO  [LocalContainerEntityManagerFactoryBean][restartedMain] - Initialized JPA EntityManagerFactory for persistence unit 'default'
[m[32m2021-11-13 16:16:28.612 INFO  [DefaultSecurityFilterChain][restartedMain] - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@250e7ee9, org.springframework.security.web.context.SecurityContextPersistenceFilter@2472e2cb, org.springframework.security.web.header.HeaderWriterFilter@4e0997ed, org.springframework.web.filter.CorsFilter@4dc2842, org.springframework.security.web.authentication.logout.LogoutFilter@f6b5fef, com.taller.concesionario.jwt.JwtTokenFilter@39caf741, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3407feb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3bc25d2e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@57a6201c, org.springframework.security.web.session.SessionManagementFilter@47412214, org.springframework.security.web.access.ExceptionTranslationFilter@508015d5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2e1377c7]
[m[32m2021-11-13 16:16:31.677 INFO  [OptionalLiveReloadServer][restartedMain] - LiveReload server is running on port 35729
[m[32m2021-11-13 16:16:31.769 INFO  [Http11NioProtocol][restartedMain] - Starting ProtocolHandler ["http-nio-8080"]
[m[32m2021-11-13 16:16:31.990 INFO  [TomcatWebServer][restartedMain] - Tomcat started on port(s): 8080 (http) with context path ''
[m[32m2021-11-13 16:16:32.081 INFO  [ConcesionarioApplication][restartedMain] - Started ConcesionarioApplication in 56.378 seconds (JVM running for 70.63)
[m[32m2021-11-13 16:21:56.447 INFO  [LocalContainerEntityManagerFactoryBean][Thread-6] - Closing JPA EntityManagerFactory for persistence unit 'default'
[m[32m2021-11-13 16:21:56.686 INFO  [HikariDataSource][Thread-6] - HikariPool-1 - Shutdown initiated...
[m[32m2021-11-13 16:21:56.792 INFO  [HikariDataSource][Thread-6] - HikariPool-1 - Shutdown completed.
